gene	3hr	24hr	
MNAT1	nan	8.9736	
CAMSAP2	nan	9.5801	
HPRT1	nan	11.3149	
ARNT2	nan	10.9062	
RRS1	nan	9.7357	
ADAT1	nan	6.8868	
SPAG7	nan	10.7554	
MAPK1IP1L	nan	9.8058	
SCAND1	nan	11.0396	
MFSD10	nan	10.8353	
MSH6	nan	10.2356	
COPS7A	nan	11.1646	
UBE2C	nan	11.7712	
FIS1	nan	8.8251	
HS2ST1	nan	5.7646	
NUDT9	nan	9.3682	
TXLNA	nan	11.2206	
CSRP1	nan	13.3014	
DNAJB1	nan	10.8086	
METRN	nan	8.5649	
TOPBP1	nan	8.6744	
ABCF1	nan	9.6301	
TCTA	nan	8.7444	
LGMN	nan	8.8648	
TLK2	nan	8.547	
KIAA1033	nan	9.6421	
PTGS2	nan	8.7399	
DNAJB6	nan	10.7549	
PLA2G4A	nan	10.6012	
MAT2A	nan	12.162	
TLR4	nan	3.8279	
HMGCS1	nan	12.4477	
MBTPS1	nan	8.2466	
SPRED2	nan	9.59	
ZNF274	nan	7.6293	
CLIC4	nan	10.8957	
MAP7	nan	11.2654	
CHAC1	nan	9.1659	
EIF4G1	nan	7.9563	
BTK	nan	3.4169	
GNAS	nan	12.4795	
MYL9	nan	5.3198	
TEX10	nan	8.2963	
PSMD2	nan	11.7096	
ZNF586	nan	5.561	
CLTC	nan	12.2248	
IKZF1	nan	4.1136	
APBB2	nan	6.9499	
HSD17B10	nan	11.2561	
RNF167	nan	9.9871	
STX1A	nan	9.4047	
ALDOA	nan	9.9652	
EPHA3	nan	4.6307	
STAT5B	nan	5.0751	
TXNDC9	nan	10.0078	
CCNA2	nan	9.6581	
VGLL4	nan	8.8505	
CASP10	nan	5.6098	
SDHB	nan	11.8561	
ETS1	nan	6.1103	
YTHDF1	nan	8.2091	
FOXO4	nan	5.6889	
LSM5	nan	12.3185	
TOMM34	nan	8.5999	
ZMYM2	nan	8.2963	
CHMP6	nan	5.9948	
KIAA0907	nan	8.796	
CASP7	nan	8.7108	
HK1	nan	6.8769	
PAPD7	nan	8.945	
PIGB	nan	9.3382	
CHEK2	nan	8.1127	
PLOD3	nan	10.2833	
ACD	nan	8.4213	
TRAK2	nan	7.3748	
SUPV3L1	nan	8.9692	
VAPB	nan	8.0032	
GPATCH8	nan	7.4648	
HSPD1	nan	11.7593	
BUB1B	nan	9.7411	
TGFBR2	nan	7.0229	
MRPL12	nan	13.3999	
NOTCH1	nan	7.4578	
PNP	nan	11.7412	
SHC1	nan	9.2704	
ARPP19	nan	9.5417	
CEBPA	nan	6.3401	
PSMF1	nan	9.5007	
RTN2	nan	9.5554	
NPEPL1	nan	8.3367	
USP1	nan	7.4073	
RPA1	nan	11.6758	
SIRT3	nan	4.9437	
KLHDC2	nan	11.2014	
UBQLN2	nan	8.8747	
