gene	3hr	24hr	
PYGL	8.0544	8.4372	
UBR7	10.1369	10.2052	
GRB7	11.1069	9.0108	
RPA2	9.1661	8.9765	
CD44	10.2913	8.7364	
ERBB3	9.3613	9.6812	
GTF2E2	9.1085	9.7463	
VAV3	7.0735	9.2886	
ABHD6	6.27425	5.5252	
ANXA7	9.52255	9.5692	
MAPKAPK2	10.3013	10.6463	
TXNRD1	11.4749	11.4815	
CAB39	7.3417	7.6701	
FZD1	7.4977	6.3236	
CRYZ	7.2046	8.2603	
TIAM1	8.2267	6.8372	
DNM1L	10.1078	9.9539	
GAA	7.61	7.9771	
DERA	9.80595	8.5169	
SKIV2L	8.2473	9.2702	
BLMH	5.8709	5.6714	
PTPRK	11.2093	10.4796	
HERC6	5.1762	5.7798	
RRP1B	8.53345	8.7259	
MKNK1	9.5765	9.3075	
TSPAN3	6.80105	7.4463	
ACOT9	8.0703	8.0379	
PIK3R3	8.25075	8.9637	
KEAP1	10.8144	10.474	
ST3GAL5	6.16345	6.2542	
CTNNAL1	7.98725	7.5554	
TFDP1	9.3548	9.1814	
ABHD4	7.541	8.0998	
SMC3	8.5821	7.141	
INPP4B	8.75935	9.1493	
LBR	6.94255	7.2703	
PPIE	10.0564	10.5138	
ZMIZ1	9.68955	10.7427	
PPARG	6.63355	7.6891	
TERF2IP	11.6098	11.7679	
BNIP3	9.30085	9.8405	
RPP38	7.99375	7.777	
BCL2	5.66275	5.6913	
CAST	10.1823	10.2501	
BAG3	12.4923	12.7678	
RBM6	8.3604	8.2779	
CSK	9.75225	9.6751	
GNA11	8.34945	8.4301	
ALDOC	6.2689	7.2279	
TOR1A	8.85275	6.9079	
SLC25A13	9.84255	9.6848	
UBE2L6	7.29705	6.1282	
SYK	6.6118	6.075	
TSPAN4	8.4125	8.4824	
NR3C1	4.84865	4.7593	
PCBD1	11.4762	12.1433	
ICMT	8.8483	8.4589	
TRIB3	11.7664	11.5465	
EIF4EBP1	8.26075	8.623	
PHF15	6.74365	7.2679	
CXCR4	7.10995	6.3038	
GNPDA1	9.07255	9.138	
CCND3	7.68335	7.8246	
FKBP14	3.99365	5.317	
CIAPIN1	9.40125	8.7183	
NUCB2	9.8498	10.8161	
COG7	8.56175	9.2441	
RSU1	9.2795	8.5145	
PTPN6	7.1277	7.5145	
TUBB6	9.8802	9.7391	
ABL1	9.1689	7.6723	
DUSP4	8.49975	8.9637	
CCNF	8.18545	7.8937	
PTPN12	8.1137	9.252	
HSPA1A	11.4876	12.7219	
PCK2	10.3664	10.0315	
FAM57A	9.1062	7.4165	
RB1	7.8932	8.5281	
EVL	10.0862	10.3308	
GFPT1	7.81555	8.0162	
BLVRA	10.3261	10.543	
GPER	6.8832	6.9389	
EAPP	8.8111	8.5238	
S100A13	13.1935	13.319	
EXT1	11.7303	10.4203	
MYBL2	9.4805	8.8636	
POLE2	6.8394	7.1571	
STX4	10.5279	10.1301	
PLCB3	9.022	9.3747	
TMCO1	11.0422	11.1839	
C2CD2	4.19225	5.2538	
PARP1	10.3753	9.8897	
ANKRD10	6.1539	5.6409	
CCDC85B	8.48955	8.0423	
DDB2	9.04755	9.4578	
DDX10	7.3189	7.3669	
BAMBI	10.3554	10.9289	
CEP57	8.1921	7.0563	
HADH	10.3485	9.9907	
RAB31	9.63175	9.5901	
ABCC5	5.52875	5.4832	
GLRX	6.5081	7.3004	
MVP	8.0568	9.1234	
RFC5	9.49545	8.2957	
HES1	9.3091	9.6373	
STMN1	8.74055	9.0261	
GALE	7.8521	8.7548	
KLHL9	7.8504	6.3718	
PTPRF	9.63325	8.9368	
UBE2J1	8.90185	7.5193	
PGM1	5.0428	5.8745	
SLC37A4	8.09385	7.5995	
LOXL1	9.97505	10.0853	
PLK1	9.0702	9.291	
MYO10	7.19055	6.5511	
NPRL2	6.0009	7.5193	
LIPA	9.6141	9.8685	
PWP1	9.651	9.0478	
PHGDH	7.5516	7.2703	
PLEKHM1	11.5631	9.4501	
ST7	5.63405	5.953	
VAT1	8.3785	8.9398	
IKBKB	4.9845	5.4926	
KIF20A	9.66125	10.1527	
CDH3	7.4992	8.1025	
PCM1	5.92875	7.3165	
IER3	10.0296	10.8091	
SSBP2	6.4392	6.1782	
FAT1	6.52595	5.6482	
SNX11	6.6287	7.4594	
RNMT	7.71655	8.689	
SFN	7.83215	9.5068	
EGFR	5.88045	4.882	
RFX5	3.781	7.5554	
NET1	10.8498	11.2401	
PKIG	7.65475	7.3979	
DECR1	10.535	10.8399	
FSD1	8.28175	7.4645	
ATP6V1D	9.8325	10.0935	
CDK6	4.0042	5.046	
CDC45	8.7902	7.6925	
NPC1	8.69445	8.6749	
EDEM1	8.88275	8.9823	
MEST	12.7679	12.1062	
MYLK	3.9728	3.5939	
PAFAH1B3	10.1688	10.142	
CALU	9.56235	9.5921	
USP6NL	7.46485	7.5126	
LGALS8	9.34965	9.1683	
NT5DC2	9.2423	9.342	
CCP110	7.5786	7.1113	
LRP10	10.6623	10.6291	
ATP1B1	11.4195	11.2767	
STK10	6.59935	6.204	
OXCT1	7.82005	7.0474	
UGDH	12.361	12.232	
SLC25A4	8.3957	9.0682	
SQRDL	6.7229	6.0587	
HEBP1	7.968	8.6474	
PSMB10	8.7666	7.7515	
ASCC3	7.61605	8.9499	
FGFR4	5.63005	4.5109	
CDKN2A	9.75695	9.783	
TRAM2	5.11805	5.4423	
ATP11B	8.6568	6.7898	
PYCR1	7.60235	8.4756	
CD320	8.7303	8.7709	
NCOA3	13.1578	13.1171	
CDKN1B	11.9434	11.5259	
POLD4	10.3753	10.2236	
FOSL1	4.99025	5.4414	
MLLT11	5.35055	5.2197	
CEBPZ	8.9293	8.7876	
PRKACA	10.8946	10.2236	
GAPDH	14.9897	15.0	
CBR3	5.94575	4.8517	
LYRM1	5.6883	6.9342	
