gene	3hr	24hr	
SDHB	nan	12.6668	
ETS1	nan	7.4635	
YTHDF1	nan	7.3849	
FOXO4	nan	7.2941	
LSM5	nan	12.2873	
TOMM34	nan	9.6628	
ZMYM2	nan	9.2774	
CHMP6	nan	5.2011	
KIAA0907	nan	9.286	
CASP7	nan	6.7007	
HK1	nan	8.8868	
PAPD7	nan	8.9916	
PIGB	nan	8.6982	
CHEK2	nan	8.1714	
PLOD3	nan	10.4001	
ACD	nan	7.6895	
TRAK2	nan	6.8987	
SUPV3L1	nan	10.3282	
VAPB	nan	8.58	
GPATCH8	nan	7.5475	
HSPD1	nan	11.4172	
BUB1B	nan	10.0669	
TGFBR2	nan	7.3047	
MRPL12	nan	13.4895	
NOTCH1	nan	7.6145	
PNP	nan	11.5901	
SHC1	nan	8.1409	
ARPP19	nan	8.2891	
CEBPA	nan	5.1218	
PSMF1	nan	9.5741	
RTN2	nan	9.4444	
NPEPL1	nan	8.0113	
USP1	nan	8.0126	
RPA1	nan	10.5555	
SIRT3	nan	6.2499	
KLHDC2	nan	11.6971	
UBQLN2	nan	7.9161	
DMTF1	nan	6.8626	
SCARB1	nan	8.4829	
CLPX	nan	8.3248	
TPM1	nan	9.4945	
TM9SF2	nan	8.8572	
TXNL4B	nan	7.6371	
ATF6	nan	8.8658	
PRR15L	nan	5.8945	
NUP88	nan	10.4872	
ST6GALNAC2	nan	5.1912	
ADH5	nan	10.1924	
FUT1	nan	7.6408	
GOLT1B	nan	10.9301	
PRUNE	nan	5.2196	
PPOX	nan	8.5083	
SYPL1	nan	12.7318	
CANT1	nan	12.598	
ZNF451	nan	8.5328	
HOMER2	nan	7.9389	
RALB	nan	9.9024	
CLTB	nan	11.1539	
TRIM13	nan	7.6304	
FBXO7	nan	6.9827	
PHKA1	nan	9.0461	
CYCS	nan	11.5046	
PPARD	nan	7.2289	
ENOSF1	nan	6.2304	
MAP4K4	nan	7.9627	
PAN2	nan	5.2331	
STAT3	nan	2.8392	
LIG1	nan	7.9237	
PPIC	nan	7.5147	
EIF5	nan	11.6228	
GNB5	nan	7.4015	
GNAI1	nan	4.6995	
INSIG1	nan	8.7389	
DNMT3A	nan	7.1496	
TM9SF3	nan	9.1956	
CCDC86	nan	10.7439	
HIST2H2BE	nan	6.4743	
S100A4	nan	9.8665	
SLC25A14	nan	7.3047	
KTN1	nan	11.5315	
TBXA2R	nan	6.224	
ARHGAP1	nan	8.7181	
FBXO11	nan	4.9321	
HERPUD1	nan	8.2811	
LPAR2	nan	7.8245	
COASY	nan	7.4587	
RPL39L	nan	5.8366	
BPHL	nan	8.7861	
RASA1	nan	7.6304	
ATMIN	nan	7.1703	
MAPKAPK3	nan	8.921	
CASP3	nan	9.0959	
MBOAT7	nan	10.8319	
PNKP	nan	9.7404	
PSME2	nan	11.9115	
NISCH	nan	7.8818	
SLC35A3	nan	7.2266	
CPSF4	nan	9.4234	
LSR	nan	8.3353	
COPB2	nan	10.3669	
MEF2C	nan	5.6654	
GADD45A	nan	9.7138	
KDM5A	nan	6.878	
FAM63A	nan	5.9391	
SMNDC1	nan	8.7516	
NUDCD3	nan	8.5272	
RAB4A	nan	10.6798	
FGFR2	nan	6.5291	
IFRD2	nan	12.1201	
BACE2	nan	10.0398	
HMGCR	nan	9.2024	
LYN	nan	5.164	
SLC35B1	nan	11.0338	
ISOC1	nan	8.5517	
TIMP2	nan	8.1124	
DUSP3	nan	7.9512	
LSM6	nan	8.3541	
CALM3	nan	8.5418	
MOK	nan	6.8704	
PPP1R13B	nan	6.2675	
SACM1L	nan	10.5762	
DNAJB2	nan	9.477	
TCERG1	nan	10.0942	
CERK	nan	6.5923	
KIAA0196	nan	10.1532	
DNM1	nan	7.2615	
LAP3	nan	9.8071	
DDIT4	nan	7.3298	
MAPKAPK5	nan	8.2643	
ALAS1	nan	11.2937	
HDGFRP3	nan	8.4018	
PAFAH1B1	nan	7.7279	
PRKCH	nan	6.7004	
PSRC1	nan	9.1718	
RAB21	nan	7.7188	
ERO1L	nan	7.7488	
PSIP1	nan	8.0358	
APOE	nan	4.0995	
CREB1	nan	7.4033	
MBNL2	nan	7.1589	
RBM15B	nan	8.4546	
PACSIN3	nan	7.6895	
TOMM70A	nan	9.9637	
CBR1	nan	10.3158	
MTA1	nan	9.4346	
MACF1	nan	8.9612	
PRKCD	nan	8.8248	
CCNA1	nan	6.3506	
PIK3R4	nan	6.9655	
CSNK1E	nan	8.8325	
HIST1H2BK	nan	11.0907	
JUN	nan	7.7011	
PCCB	nan	11.0538	
STAP2	nan	7.743	
TMEM50A	nan	8.6169	
PMM2	nan	11.3888	
SCCPDH	nan	10.532	
HSD17B11	nan	5.9529	
TSC22D3	nan	6.8039	
FBXL12	nan	7.3208	
TFAP2A	nan	7.3849	
WDR61	nan	9.1135	
ZNF395	nan	9.6851	
FAS	nan	3.4432	
VPS72	nan	7.7168	
CENPE	nan	7.8943	
CLSTN1	nan	8.8433	
CREG1	nan	10.0526	
MAPK9	nan	10.5143	
PRR7	nan	6.9458	
SKP1	nan	7.8416	
POP4	nan	10.4465	
TMEM110	nan	6.7843	
NFE2L2	nan	7.872	
ZNF589	nan	5.7484	
BAX	nan	8.2722	
BLCAP	nan	11.0818	
CNDP2	nan	9.7571	
FAM20B	nan	7.1091	
PROS1	nan	4.6197	
TNIP1	nan	8.2643	
CRKL	nan	9.5025	
P4HTM	nan	9.4105	
REEP5	nan	8.5877	
ZNF318	nan	6.2165	
BZW2	nan	9.6434	
FDFT1	nan	10.0891	
CGRRF1	nan	11.6593	
TRAP1	nan	9.811	
AMDHD2	nan	7.3657	
GTF2A2	nan	11.382	
PEX11A	nan	5.4136	
PSMD9	nan	10.0674	
GFOD1	nan	5.7263	
MTFR1	nan	10.4131	
PECR	nan	7.2435	
UBE2A	nan	10.3073	
NIT1	nan	9.3611	
SOCS2	nan	6.5304	
SYNGR3	nan	3.8567	
ZDHHC6	nan	7.6145	
ITGAE	nan	10.5663	
NFKB2	nan	4.5366	
STK25	nan	10.1776	
TMEM5	nan	9.7026	
ABCF3	nan	9.6267	
ATP5S	nan	7.3373	
FCHO1	nan	6.3017	
NGRN	nan	6.5635	
HOXA5	nan	6.9653	
OXSR1	nan	8.7443	
GRN	nan	11.4703	
SMARCC1	nan	9.7459	
NUP85	nan	11.3236	
PAK6	nan	6.4862	
GHR	nan	5.4365	
GTPBP8	nan	10.7928	
GLOD4	nan	9.7277	
PTK2	nan	11.6593	
CDK4	nan	11.1457	
EPN2	nan	9.3051	
CCDC90A	nan	7.0583	
IL4R	nan	7.0697	
KIAA0528	nan	9.4242	
PRKAG2	nan	7.937	
KIT	nan	4.0221	
MRPS16	nan	12.5601	
PTPRC	nan	5.4291	
RPS5	nan	8.1269	
NOL3	nan	9.1027	
PSMG1	nan	11.1902	
NR1H2	nan	7.7725	
TMEM97	nan	8.8492	
LRRC41	nan	10.1994	
PLS1	nan	9.244	
DUSP22	nan	8.7824	
KIAA1279	nan	8.3985	
RPS6KA1	nan	10.8627	
TCEAL4	nan	10.1435	
DCK	nan	10.393	
NUP133	nan	9.3712	
NUP62	nan	9.7607	
TRIM2	nan	8.2477	
SNCA	nan	11.5254	
SPTAN1	nan	6.3273	
MALT1	nan	7.859	
VPS28	nan	7.0146	
LRRC16A	nan	6.3117	
YKT6	nan	9.8355	
CHP	nan	4.8132	
KIF2C	nan	6.0333	
NNT	nan	6.8721	
NR2F6	nan	9.2567	
COL1A1	nan	6.2915	
EXOSC4	nan	8.0244	
CDC25A	nan	8.6406	
PDLIM1	nan	8.3507	
CRELD2	nan	7.3047	
TP53	nan	5.2049	
IQGAP1	nan	8.0976	
RRP12	nan	7.5375	
ACAT2	nan	9.1743	
EGR1	nan	4.4886	
MUC1	nan	4.6622	
THAP11	nan	6.8248	
AURKB	nan	9.7942	
CEBPD	nan	5.9638	
HSPA4	nan	10.6733	
MAST2	nan	7.9789	
DHDDS	nan	7.2238	
TOP2A	nan	11.8191	
GADD45B	nan	6.6292	
NCK2	nan	7.5279	
AURKA	nan	8.1321	
KIAA0355	nan	4.3195	
B3GNT1	nan	8.9787	
DYNLT3	nan	9.5809	
CDK5R1	nan	4.4285	
CHMP4A	nan	10.1111	
IPO13	nan	8.2007	
SCP2	nan	9.2024	
ITFG1	nan	6.6129	
RAD9A	nan	6.0995	
DRAP1	nan	12.2095	
SPP1	nan	3.1019	
HYOU1	nan	8.8866	
PCMT1	nan	10.3372	
FOS	nan	4.8271	
FYN	nan	6.3223	
MCOLN1	nan	6.0095	
MYC	nan	10.9374	
ID2	nan	5.5665	
POLB	nan	9.0767	
CETN3	nan	8.7562	
KCNK1	nan	8.4713	
AXIN1	nan	6.603	
SMC4	nan	10.4015	
RAI14	nan	10.4518	
SMARCD2	nan	9.2119	
DNAJC15	nan	9.1002	
MPZL1	nan	9.6311	
HOXA10	nan	9.1408	
NRAS	nan	6.7119	
CASP2	nan	6.6024	
EBNA1BP2	nan	11.1575	
CTNND1	nan	8.7127	
TATDN2	nan	6.456	
LRPAP1	nan	8.6712	
ZNF131	nan	9.1317	
BNIP3L	nan	10.0169	
HOOK2	nan	7.6687	
ERBB2	nan	8.9546	
TBPL1	nan	8.6659	
INTS3	nan	8.0302	
RAE1	nan	10.7007	
CDK1	nan	11.811	
