gene	3hr	24hr	
HIST2H2BE	nan	6.7471	
S100A4	nan	13.6617	
SLC25A14	nan	6.3469	
KTN1	nan	10.0437	
TBXA2R	nan	6.5621	
ARHGAP1	nan	9.8585	
FBXO11	nan	5.2389	
HERPUD1	nan	8.6348	
LPAR2	nan	7.2593	
COASY	nan	7.765	
RPL39L	nan	3.5096	
BPHL	nan	7.196	
RASA1	nan	8.4337	
ATMIN	nan	6.9547	
MAPKAPK3	nan	6.0782	
CASP3	nan	9.5483	
MBOAT7	nan	11.9528	
PNKP	nan	8.909	
PSME2	nan	11.6608	
NISCH	nan	6.9996	
SLC35A3	nan	6.6965	
CPSF4	nan	10.2181	
LSR	nan	9.7868	
COPB2	nan	11.1758	
MEF2C	nan	5.5608	
GADD45A	nan	9.4386	
KDM5A	nan	6.9154	
FAM63A	nan	6.6965	
SMNDC1	nan	9.0935	
NUDCD3	nan	8.8886	
RAB4A	nan	10.2876	
FGFR2	nan	7.7557	
IFRD2	nan	11.34	
BACE2	nan	7.6874	
HMGCR	nan	9.3816	
LYN	nan	5.4946	
SLC35B1	nan	9.7439	
ISOC1	nan	8.614	
TIMP2	nan	7.462	
DUSP3	nan	8.035	
LSM6	nan	7.6334	
CALM3	nan	9.2654	
MOK	nan	5.1547	
PPP1R13B	nan	7.2524	
SACM1L	nan	9.1636	
DNAJB2	nan	7.9009	
TCERG1	nan	9.8663	
CERK	nan	7.3921	
KIAA0196	nan	10.2731	
DNM1	nan	8.263	
LAP3	nan	10.451	
DDIT4	nan	7.1041	
MAPKAPK5	nan	8.8709	
ALAS1	nan	10.5847	
HDGFRP3	nan	4.7807	
PAFAH1B1	nan	9.0456	
PRKCH	nan	5.4573	
PSRC1	nan	9.8104	
RAB21	nan	8.3376	
ERO1L	nan	6.1369	
PSIP1	nan	9.4534	
APOE	nan	4.619	
CREB1	nan	6.7711	
MBNL2	nan	10.338	
RBM15B	nan	8.684	
PACSIN3	nan	4.9155	
TOMM70A	nan	9.8078	
CBR1	nan	8.5659	
MTA1	nan	10.1244	
MACF1	nan	9.6642	
PRKCD	nan	7.9401	
CCNA1	nan	5.1047	
PIK3R4	nan	7.6327	
CSNK1E	nan	9.8569	
HIST1H2BK	nan	9.8126	
JUN	nan	9.686	
PCCB	nan	9.9235	
STAP2	nan	7.3508	
TMEM50A	nan	9.8925	
PMM2	nan	12.4522	
SCCPDH	nan	9.7249	
HSD17B11	nan	9.2038	
TSC22D3	nan	7.5562	
FBXL12	nan	6.8978	
TFAP2A	nan	8.1627	
WDR61	nan	9.7138	
ZNF395	nan	9.2259	
FAS	nan	4.3024	
VPS72	nan	7.8448	
CENPE	nan	7.7693	
CLSTN1	nan	8.8414	
CREG1	nan	10.4665	
MAPK9	nan	10.0816	
PRR7	nan	6.6615	
SKP1	nan	7.3847	
POP4	nan	10.7179	
TMEM110	nan	5.4511	
NFE2L2	nan	8.7355	
ZNF589	nan	5.5608	
BAX	nan	9.9039	
BLCAP	nan	11.5194	
CNDP2	nan	10.4808	
FAM20B	nan	7.9956	
PROS1	nan	5.6589	
TNIP1	nan	7.7409	
CRKL	nan	10.5592	
P4HTM	nan	8.7964	
REEP5	nan	7.7442	
ZNF318	nan	6.2809	
BZW2	nan	10.9482	
FDFT1	nan	11.5659	
CGRRF1	nan	7.8187	
TRAP1	nan	10.3321	
AMDHD2	nan	6.539	
GTF2A2	nan	11.9484	
PEX11A	nan	7.0126	
PSMD9	nan	9.0618	
GFOD1	nan	5.7555	
MTFR1	nan	10.4265	
PECR	nan	6.7821	
UBE2A	nan	10.0727	
NIT1	nan	9.703	
SOCS2	nan	5.5987	
SYNGR3	nan	3.7636	
ZDHHC6	nan	8.4606	
ITGAE	nan	9.7736	
NFKB2	nan	4.7495	
STK25	nan	10.1722	
TMEM5	nan	7.5032	
ABCF3	nan	8.6165	
ATP5S	nan	7.0667	
FCHO1	nan	5.4807	
NGRN	nan	7.3343	
HOXA5	nan	9.4534	
OXSR1	nan	7.5726	
GRN	nan	11.5139	
SMARCC1	nan	9.5654	
NUP85	nan	10.6659	
