gene	3hr	24hr	
MAPK9	10.9202	10.4326	
PRR7	6.75625	6.5159	
SKP1	7.58105	5.1971	
POP4	9.2986	9.3051	
TMEM110	6.74185	6.0086	
NFE2L2	9.689	10.4524	
ZNF589	6.6807	8.58985	
BAX	8.11225	9.33195	
BLCAP	11.1522	11.7597	
CNDP2	10.7543	10.9999	
FAM20B	7.84665	8.4481	
PROS1	3.5139	5.03055	
TNIP1	7.8229	7.5908	
CRKL	9.8293	10.9937	
P4HTM	9.1328	8.84725	
REEP5	9.0823	7.6243	
ZNF318	6.43235	6.6985	
BZW2	9.24505	9.88995	
FDFT1	9.8499	9.95255	
CGRRF1	8.33145	8.63615	
TRAP1	9.1116	9.12695	
AMDHD2	6.99035	7.0716	
GTF2A2	11.7063	11.7178	
PEX11A	6.5775	7.7661	
PSMD9	9.4659	9.17215	
GFOD1	6.66575	7.4908	
MTFR1	9.47545	10.7593	
PECR	6.48795	6.50925	
UBE2A	12.7844	13.0979	
NIT1	9.98865	10.6997	
SOCS2	6.56575	6.90945	
SYNGR3	4.9271	5.15405	
ZDHHC6	5.52265	4.61235	
ITGAE	10.7635	10.406	
NFKB2	4.7955	4.732	
STK25	10.7216	11.4334	
TMEM5	8.1889	7.6015	
ABCF3	9.12335	8.17405	
ATP5S	8.57555	9.1404	
FCHO1	7.94055	7.846	
NGRN	6.4265	7.0544	
HOXA5	6.71715	7.0288	
OXSR1	8.78735	8.46015	
GRN	9.82145	10.8116	
SMARCC1	9.92925	10.362	
NUP85	9.28675	7.63535	
PAK6	4.41215	4.09125	
GHR	5.02105	4.62835	
GTPBP8	8.733	6.27915	
GLOD4	10.2156	10.8823	
PTK2	10.9558	10.7583	
CDK4	11.3323	11.0283	
EPN2	7.95335	8.85905	
CCDC90A	7.94675	7.95045	
IL4R	7.56845	7.53095	
KIAA0528	7.8776	9.375	
PRKAG2	7.68775	6.93405	
KIT	4.3587	3.934	
MRPS16	9.622	6.3835	
PTPRC	7.2154	7.17475	
RPS5	5.70825	6.769	
NOL3	8.8905	9.08115	
PSMG1	10.521	10.1581	
NR1H2	7.0262	8.0262	
TMEM97	9.66815	9.88345	
LRRC41	10.091	11.1699	
PLS1	10.6039	10.8703	
DUSP22	7.10125	7.2587	
KIAA1279	8.09185	8.1008	
RPS6KA1	8.22745	8.48595	
TCEAL4	9.11135	8.88895	
DCK	8.42725	8.56285	
NUP133	9.3522	9.17365	
NUP62	9.55805	9.9133	
TRIM2	12.0266	12.5224	
SNCA	7.5997	7.6398	
SPTAN1	7.2303	6.04395	
MALT1	8.7033	9.7271	
VPS28	7.69435	7.12505	
LRRC16A	6.6973	6.8735	
YKT6	9.96425	9.90885	
CHP	6.30185	4.477	
KIF2C	5.08575	6.2302	
NNT	5.23305	5.0779	
NR2F6	11.3198	12.2501	
COL1A1	6.41665	5.78355	
EXOSC4	6.3871	4.83125	
CDC25A	7.1569	6.30245	
PDLIM1	8.3014	9.23695	
CRELD2	7.1419	7.9603	
TP53	11.1189	11.9955	
IQGAP1	10.1173	10.9119	
RRP12	7.1899	7.09365	
ACAT2	9.0009	7.60885	
EGR1	6.3252	5.7167	
MUC1	7.20535	7.2016	
THAP11	6.8795	6.9711	
AURKB	10.5753	10.9579	
CEBPD	7.82935	9.04675	
HSPA4	11.0458	12.1201	
MAST2	7.6279	8.4298	
DHDDS	7.3876	7.4686	
