gene	3hr	24hr	
CGRRF1	7.5426	8.4604	
TRAP1	8.3739	7.4314	
AMDHD2	7.7315	7.1206	
GTF2A2	10.6069	10.6415	
PEX11A	9.2975	4.0451	
PSMD9	9.821	9.728	
GFOD1	5.2451	5.0663	
MTFR1	10.8142	10.5583	
PECR	6.0237	5.7053	
UBE2A	10.7336	10.5034	
NIT1	9.3371	9.198	
SOCS2	5.9998	5.4386	
SYNGR3	4.3286	4.1839	
ZDHHC6	7.4605	6.3784	
ITGAE	10.0287	9.6678	
NFKB2	4.3483	3.6494	
STK25	10.7886	11.2874	
TMEM5	7.3361	7.9664	
ABCF3	9.3194	8.9125	
ATP5S	7.6174	7.1203	
FCHO1	6.1274	4.5523	
NGRN	5.6586	6.5758	
HOXA5	7.5122	7.9022	
OXSR1	9.2804	9.5887	
GRN	10.3419	11.762	
SMARCC1	11.1711	10.7695	
NUP85	10.1425	9.8134	
PAK6	4.1687	3.7917	
GHR	4.2442	4.4716	
GTPBP8	8.7302	8.0842	
GLOD4	9.9618	10.2958	
PTK2	10.6954	11.0111	
CDK4	12.0675	11.8084	
EPN2	8.3391	8.9222	
CCDC90A	7.0105	8.2752	
IL4R	7.8215	7.2168	
KIAA0528	9.0441	9.6	
PRKAG2	6.2812	6.6833	
KIT	3.6457	3.3385	
MRPS16	9.8514	9.5493	
PTPRC	7.1672	6.9081	
RPS5	6.377	5.6434	
NOL3	7.2259	7.1126	
PSMG1	11.6067	11.2973	
NR1H2	7.4181	7.3734	
TMEM97	11.2552	10.6085	
LRRC41	12.0141	11.8477	
PLS1	5.7903	5.6035	
DUSP22	7.272	6.7799	
KIAA1279	8.2722	8.9652	
RPS6KA1	5.6802	6.0763	
TCEAL4	10.1113	10.3488	
DCK	9.7329	9.8404	
NUP133	8.2474	8.1992	
NUP62	9.9618	9.8047	
TRIM2	8.5524	7.5728	
SNCA	10.7985	10.6007	
SPTAN1	6.7635	7.2656	
MALT1	8.9565	9.364	
VPS28	9.3269	7.5	
LRRC16A	5.7172	5.5774	
YKT6	10.5625	10.1511	
CHP	5.6007	4.771	
KIF2C	6.9156	6.4702	
NNT	9.8627	10.2376	
NR2F6	8.8507	9.4392	
COL1A1	15.0	15.0001	
EXOSC4	6.7984	6.2602	
CDC25A	8.3662	6.4275	
PDLIM1	6.7397	8.7602	
CRELD2	8.5125	9.1744	
TP53	11.0452	10.8489	
IQGAP1	9.9886	10.3228	
RRP12	7.7885	7.4049	
ACAT2	10.4565	9.8746	
EGR1	4.6854	5.2604	
MUC1	5.8674	6.2705	
THAP11	4.2984	5.1579	
