gene	3hr	24hr	
ST6GALNAC2	nan	5.0723	
ADH5	nan	10.4441	
FUT1	nan	7.5745	
GOLT1B	nan	10.9598	
PRUNE	nan	5.1511	
PPOX	nan	8.5123	
SYPL1	nan	11.7205	
CANT1	nan	11.5453	
ZNF451	nan	8.1626	
HOMER2	nan	9.4538	
RALB	nan	10.3606	
CLTB	nan	10.6517	
TRIM13	nan	8.6162	
FBXO7	nan	8.2987	
PHKA1	nan	5.4523	
CYCS	nan	10.7361	
PPARD	nan	6.8465	
ENOSF1	nan	6.2321	
MAP4K4	nan	8.4443	
PAN2	nan	4.8471	
STAT3	nan	5.0387	
LIG1	nan	9.0614	
PPIC	nan	9.6502	
EIF5	nan	9.9499	
GNB5	nan	8.2049	
GNAI1	nan	5.4023	
INSIG1	nan	10.5548	
DNMT3A	nan	8.2793	
TM9SF3	nan	9.4798	
CCDC86	nan	9.4136	
HIST2H2BE	nan	7.0928	
S100A4	nan	5.6732	
SLC25A14	nan	5.1707	
KTN1	nan	11.4602	
TBXA2R	nan	6.9886	
ARHGAP1	nan	10.9468	
FBXO11	nan	5.3459	
HERPUD1	nan	8.4125	
LPAR2	nan	7.4826	
COASY	nan	6.9054	
RPL39L	nan	5.2961	
BPHL	nan	7.7332	
RASA1	nan	8.6151	
ATMIN	nan	7.0815	
MAPKAPK3	nan	5.8458	
CASP3	nan	10.7726	
MBOAT7	nan	12.0998	
PNKP	nan	7.758	
PSME2	nan	11.5065	
NISCH	nan	8.6535	
SLC35A3	nan	6.1166	
CPSF4	nan	10.1296	
LSR	nan	5.5141	
COPB2	nan	11.92	
MEF2C	nan	4.8774	
GADD45A	nan	10.718	
KDM5A	nan	7.7078	
FAM63A	nan	6.192	
SMNDC1	nan	9.0784	
NUDCD3	nan	8.208	
RAB4A	nan	11.1219	
FGFR2	nan	6.5807	
IFRD2	nan	11.5991	
BACE2	nan	10.0507	
HMGCR	nan	9.5756	
LYN	nan	4.7168	
SLC35B1	nan	9.3664	
ISOC1	nan	8.1687	
TIMP2	nan	8.9703	
DUSP3	nan	8.0585	
LSM6	nan	8.2444	
CALM3	nan	9.1343	
MOK	nan	10.1355	
PPP1R13B	nan	6.0579	
SACM1L	nan	9.237	
DNAJB2	nan	9.3014	
TCERG1	nan	10.4179	
CERK	nan	8.3022	
KIAA0196	nan	9.3803	
DNM1	nan	8.7981	
LAP3	nan	11.416	
DDIT4	nan	7.7914	
MAPKAPK5	nan	7.7062	
ALAS1	nan	11.0083	
HDGFRP3	nan	7.8554	
PAFAH1B1	nan	9.7098	
PRKCH	nan	4.1365	
PSRC1	nan	10.4938	
RAB21	nan	8.3377	
ERO1L	nan	6.5275	
PSIP1	nan	11.0847	
APOE	nan	4.0596	
CREB1	nan	7.0416	
MBNL2	nan	8.3429	
RBM15B	nan	9.0437	
PACSIN3	nan	6.0579	
TOMM70A	nan	8.9979	
CBR1	nan	8.6408	
MTA1	nan	9.9851	
MACF1	nan	10.7692	
PRKCD	nan	6.7656	
CCNA1	nan	4.8149	
PIK3R4	nan	7.5267	
CSNK1E	nan	11.0198	
HIST1H2BK	nan	8.8015	
JUN	nan	9.5936	
PCCB	nan	10.0789	
STAP2	nan	6.433	
TMEM50A	nan	11.1025	
PMM2	nan	12.3925	
SCCPDH	nan	10.1077	
HSD17B11	nan	8.1339	
TSC22D3	nan	6.4152	
FBXL12	nan	7.7332	
TFAP2A	nan	9.5849	
WDR61	nan	9.1897	
ZNF395	nan	10.6276	
FAS	nan	3.8822	
VPS72	nan	7.5433	
CENPE	nan	8.7015	
CLSTN1	nan	9.7856	
CREG1	nan	8.8234	
MAPK9	nan	9.7373	
PRR7	nan	6.192	
SKP1	nan	7.2045	
POP4	nan	9.4492	
TMEM110	nan	5.6775	
NFE2L2	nan	8.7529	
ZNF589	nan	6.0809	
BAX	nan	8.9319	
BLCAP	nan	9.5793	
CNDP2	nan	11.5034	
FAM20B	nan	7.2499	
PROS1	nan	4.0157	
TNIP1	nan	9.5353	
CRKL	nan	10.3433	
P4HTM	nan	8.8745	
REEP5	nan	8.2411	
ZNF318	nan	6.2241	
BZW2	nan	9.3077	
