gene	3hr	24hr	
MAPKAPK3	nan	6.8441	
CASP3	nan	9.2051	
MBOAT7	nan	9.5214	
PNKP	nan	7.3901	
PSME2	nan	11.1001	
NISCH	nan	7.5058	
SLC35A3	nan	6.9157	
CPSF4	nan	9.9162	
LSR	nan	7.5115	
COPB2	nan	11.2777	
MEF2C	nan	5.2287	
GADD45A	nan	9.0718	
KDM5A	nan	7.4242	
FAM63A	nan	7.0385	
SMNDC1	nan	8.9778	
NUDCD3	nan	8.0459	
RAB4A	nan	10.5792	
FGFR2	nan	8.398	
IFRD2	nan	11.4695	
BACE2	nan	5.5715	
HMGCR	nan	10.0092	
LYN	nan	4.9993	
SLC35B1	nan	11.0347	
ISOC1	nan	8.4118	
TIMP2	nan	6.8369	
DUSP3	nan	8.8743	
LSM6	nan	8.2496	
CALM3	nan	7.6631	
MOK	nan	6.5491	
PPP1R13B	nan	6.4042	
SACM1L	nan	9.336	
DNAJB2	nan	8.9214	
TCERG1	nan	10.7818	
CERK	nan	8.3791	
KIAA0196	nan	9.6756	
DNM1	nan	6.5681	
LAP3	nan	10.2792	
DDIT4	nan	12.5429	
MAPKAPK5	nan	8.9131	
ALAS1	nan	10.336	
HDGFRP3	nan	8.8014	
PAFAH1B1	nan	8.5705	
PRKCH	nan	5.3868	
PSRC1	nan	9.1564	
RAB21	nan	8.0568	
ERO1L	nan	7.493	
PSIP1	nan	8.3761	
APOE	nan	4.2455	
CREB1	nan	6.1978	
MBNL2	nan	7.666	
RBM15B	nan	8.2296	
PACSIN3	nan	5.9227	
TOMM70A	nan	9.3804	
CBR1	nan	10.0811	
MTA1	nan	11.5915	
MACF1	nan	11.4826	
PRKCD	nan	5.1695	
CCNA1	nan	5.2026	
PIK3R4	nan	7.4997	
CSNK1E	nan	9.4578	
HIST1H2BK	nan	12.0789	
JUN	nan	9.2212	
PCCB	nan	10.1912	
STAP2	nan	5.9736	
TMEM50A	nan	9.9862	
PMM2	nan	11.918	
SCCPDH	nan	10.6925	
HSD17B11	nan	11.0535	
TSC22D3	nan	8.0976	
FBXL12	nan	7.0023	
TFAP2A	nan	9.1647	
WDR61	nan	9.7798	
ZNF395	nan	12.5652	
FAS	nan	4.5346	
VPS72	nan	8.4402	
CENPE	nan	8.2817	
CLSTN1	nan	8.7744	
CREG1	nan	11.4307	
MAPK9	nan	10.7481	
PRR7	nan	5.5974	
SKP1	nan	7.1579	
POP4	nan	9.2332	
TMEM110	nan	5.745	
NFE2L2	nan	9.4451	
ZNF589	nan	6.1563	
BAX	nan	8.0278	
BLCAP	nan	9.6158	
CNDP2	nan	10.0486	
FAM20B	nan	7.7685	
PROS1	nan	7.2525	
TNIP1	nan	7.037	
CRKL	nan	12.5649	
P4HTM	nan	10.6453	
REEP5	nan	7.1677	
ZNF318	nan	6.6425	
BZW2	nan	10.0853	
FDFT1	nan	8.6242	
CGRRF1	nan	9.1404	
TRAP1	nan	8.5997	
AMDHD2	nan	5.8697	
GTF2A2	nan	12.4822	
PEX11A	nan	5.276	
PSMD9	nan	9.555	
GFOD1	nan	5.2548	
MTFR1	nan	10.2266	
PECR	nan	7.3514	
UBE2A	nan	10.4407	
NIT1	nan	11.865	
SOCS2	nan	7.5175	
SYNGR3	nan	3.6709	
ZDHHC6	nan	7.3834	
ITGAE	nan	10.1631	
NFKB2	nan	4.8822	
STK25	nan	10.4023	
TMEM5	nan	9.87	
ABCF3	nan	9.1191	
ATP5S	nan	5.8407	
FCHO1	nan	5.3061	
NGRN	nan	7.6216	
HOXA5	nan	7.5628	
OXSR1	nan	8.1139	
GRN	nan	9.249	
SMARCC1	nan	9.1935	
NUP85	nan	10.729	
PAK6	nan	4.7172	
GHR	nan	4.0632	
GTPBP8	nan	9.4687	
GLOD4	nan	9.8315	
PTK2	nan	10.3747	
CDK4	nan	11.3147	
EPN2	nan	9.0071	
CCDC90A	nan	6.6731	
IL4R	nan	7.6421	
KIAA0528	nan	10.4752	
PRKAG2	nan	7.2196	
KIT	nan	4.5969	
MRPS16	nan	10.4814	
PTPRC	nan	6.2901	
RPS5	nan	6.6333	
NOL3	nan	8.5369	
PSMG1	nan	11.1288	
NR1H2	nan	6.7402	
TMEM97	nan	10.4982	
LRRC41	nan	10.6737	
PLS1	nan	11.6437	
DUSP22	nan	8.6684	
KIAA1279	nan	7.3696	
RPS6KA1	nan	8.897	
TCEAL4	nan	10.1873	
DCK	nan	10.3473	
NUP133	nan	9.4483	
NUP62	nan	7.7575	
TRIM2	nan	8.3335	
SNCA	nan	10.5735	
SPTAN1	nan	5.4559	
MALT1	nan	7.8437	
VPS28	nan	7.5206	
LRRC16A	nan	8.0925	
YKT6	nan	10.5212	
CHP	nan	5.2261	
KIF2C	nan	6.5014	
NNT	nan	6.5106	
NR2F6	nan	9.1342	
COL1A1	nan	6.7218	
EXOSC4	nan	6.25	
CDC25A	nan	7.1763	
PDLIM1	nan	8.8489	
CRELD2	nan	8.8362	
TP53	nan	7.1086	
IQGAP1	nan	9.2417	
RRP12	nan	8.5555	
ACAT2	nan	9.0262	
EGR1	nan	5.6061	
MUC1	nan	7.2419	
THAP11	nan	6.8822	
AURKB	nan	8.9273	
CEBPD	nan	7.9142	
HSPA4	nan	11.325	
MAST2	nan	8.9276	
DHDDS	nan	6.6289	
TOP2A	nan	13.0105	
GADD45B	nan	5.8842	
NCK2	nan	6.3989	
AURKA	nan	8.3507	
KIAA0355	nan	4.2487	
B3GNT1	nan	10.8887	
DYNLT3	nan	7.713	
CDK5R1	nan	4.8829	
CHMP4A	nan	8.4778	
IPO13	nan	9.2855	
SCP2	nan	9.8651	
ITFG1	nan	7.7173	
RAD9A	nan	6.1932	
DRAP1	nan	11.3883	
SPP1	nan	9.6001	
HYOU1	nan	8.67	
PCMT1	nan	10.082	
FOS	nan	5.5903	
FYN	nan	4.4345	
MCOLN1	nan	6.0852	
MYC	nan	11.1402	
ID2	nan	6.7665	
POLB	nan	7.783	
CETN3	nan	7.662	
KCNK1	nan	4.3382	
AXIN1	nan	6.5568	
SMC4	nan	10.6416	
RAI14	nan	8.6517	
SMARCD2	nan	7.9453	
DNAJC15	nan	6.558	
MPZL1	nan	11.6441	
HOXA10	nan	4.6847	
NRAS	nan	9.027	
CASP2	nan	6.0612	
EBNA1BP2	nan	11.1629	
CTNND1	nan	10.0771	
TATDN2	nan	5.5422	
LRPAP1	nan	9.9785	
ZNF131	nan	7.7309	
BNIP3L	nan	8.8592	
HOOK2	nan	5.1934	
ERBB2	nan	9.2033	
TBPL1	nan	7.6421	
INTS3	nan	8.8483	
RAE1	nan	9.5006	
CDK1	nan	10.7716	
RFNG	nan	9.8211	
MICALL1	nan	4.5346	
SLC35A1	nan	9.2104	
KLHL21	nan	4.4525	
NIPSNAP1	nan	8.8097	
BCL7B	nan	7.7382	
TLE1	nan	9.4851	
FZD7	nan	5.3457	
TIMELESS	nan	10.3412	
COG2	nan	9.8039	
DHX29	nan	8.1018	
MMP2	nan	7.946	
MRPS2	nan	8.7386	
KCTD5	nan	6.0499	
TCEA2	nan	10.0346	
CNPY3	nan	7.5244	
FHL2	nan	10.4355	
ADAM10	nan	9.5671	
FKBP4	nan	14.0816	
CD58	nan	10.723	
KAT6A	nan	7.2047	
CDK7	nan	11.0969	
KIF5C	nan	4.3196	
HMG20B	nan	10.4839	
MAP3K4	nan	6.4596	
PIN1	nan	10.6975	
ZFP36	nan	8.9012	
INPP1	nan	9.0943	
LAGE3	nan	7.0523	
RAC2	nan	4.0575	
TNFRSF21	nan	9.8004	
HMOX1	nan	4.7527	
KIF14	nan	8.6109	
COL4A1	nan	10.4563	
DUSP6	nan	10.4719	
CYB561	nan	8.2618	
EPB41L2	nan	10.1773	
GNAI2	nan	5.5274	
HTRA1	nan	6.9207	
TSTA3	nan	8.2126	
WASF3	nan	7.186	
DNMT1	nan	12.7913	
TSPAN6	nan	10.0855	
FBXO21	nan	10.5397	
RAB27A	nan	8.8097	
DDR1	nan	6.9312	
PPP2R3C	nan	8.0788	
ADRB2	nan	4.1209	
LPGAT1	nan	11.9914	
DUSP11	nan	9.3408	
GRB10	nan	6.9387	
MMP1	nan	6.3007	
TP53BP2	nan	10.7196	
CDKN1A	nan	9.963	
ZW10	nan	7.8605	
CORO1A	nan	8.2166	
