gene	3hr	24hr	
TRIM2	9.0379	7.6467	
SNCA	9.5805	9.3139	
SPTAN1	7.4378	7.5682	
MALT1	8.0284	8.2575	
VPS28	7.0953	7.6294	
LRRC16A	6.0344	6.5537	
YKT6	9.5945	9.9166	
CHP	8.4415	8.6116	
KIF2C	5.4673	6.4515	
NNT	8.2784	8.8728	
NR2F6	10.133	10.041	
COL1A1	5.5276	5.5596	
EXOSC4	6.8084	7.0791	
CDC25A	8.6761	9.2284	
PDLIM1	9.5495	9.6408	
CRELD2	7.2695	7.2132	
TP53	9.1128	9.3631	
IQGAP1	9.1216	10.0674	
RRP12	9.9196	9.0218	
ACAT2	9.0272	6.8772	
EGR1	7.636	7.4338	
MUC1	7.6905	7.2769	
THAP11	7.0293	6.9845	
AURKB	10.979	9.9902	
CEBPD	9.0988	8.2993	
HSPA4	11.8285	11.7155	
MAST2	11.8831	7.8008	
DHDDS	7.1862	7.044	
TOP2A	12.2447	12.6804	
GADD45B	6.4933	6.4202	
NCK2	6.524	7.1906	
AURKA	7.7804	7.6691	
KIAA0355	5.3895	4.9333	
B3GNT1	6.5228	7.3585	
DYNLT3	6.1738	6.6343	
CDK5R1	5.5679	5.8195	
CHMP4A	7.8023	8.6552	
IPO13	8.932	7.8761	
SCP2	7.376	8.0819	
ITFG1	5.4497	5.3432	
RAD9A	5.6591	6.9924	
DRAP1	10.0321	10.623	
SPP1	3.7431	10.2153	
HYOU1	9.8256	8.5007	
PCMT1	10.47	10.3641	
FOS	6.5042	6.7179	
FYN	5.5495	4.6486	
MCOLN1	6.2643	6.1638	
MYC	11.574	12.1962	
ID2	6.4125	7.3938	
POLB	8.2052	7.8152	
CETN3	8.0757	7.9388	
KCNK1	7.4687	8.6291	
AXIN1	8.0319	7.4203	
SMC4	10.724	11.3313	
RAI14	9.7384	10.2759	
SMARCD2	8.9945	8.8555	
DNAJC15	9.6309	9.9166	
MPZL1	10.1777	10.0134	
HOXA10	7.5342	7.4964	
NRAS	9.154	9.2374	
CASP2	6.4549	6.6441	
EBNA1BP2	11.6185	11.6234	
CTNND1	10.3585	8.6272	
TATDN2	6.2235	6.2947	
LRPAP1	9.3089	10.0082	
ZNF131	9.3294	8.532	
BNIP3L	5.3262	5.9482	
HOOK2	5.0905	5.2711	
ERBB2	7.3373	8.7019	
TBPL1	8.1566	8.027	
INTS3	7.8861	9.5223	
RAE1	9.1393	8.8206	
CDK1	11.5961	11.8153	
RFNG	9.5625	8.3946	
MICALL1	7.2378	8.2927	
SLC35A1	7.8707	7.6969	
KLHL21	6.3093	5.6057	
NIPSNAP1	6.4209	7.1559	
BCL7B	7.1685	6.7464	
TLE1	5.948	8.7665	
FZD7	5.9063	5.8422	
TIMELESS	9.8227	9.9721	
COG2	8.8656	8.7991	
DHX29	7.5709	7.7183	
MMP2	10.5774	6.4226	
MRPS2	9.7472	10.4716	
KCTD5	7.1075	7.2132	
TCEA2	9.0214	7.9958	
CNPY3	7.8277	6.9333	
FHL2	10.5846	10.7536	
ADAM10	8.7922	9.2632	
FKBP4	14.1051	12.4235	
CD58	9.0816	8.1323	
KAT6A	7.8974	8.8265	
CDK7	10.7222	10.7536	
KIF5C	4.9452	5.1121	
HMG20B	9.7849	10.1442	
MAP3K4	6.1781	7.4346	
PIN1	10.6833	11.1126	
ZFP36	10.6654	10.594	
INPP1	8.8281	9.3361	
LAGE3	4.9871	5.429	
RAC2	8.7758	9.2726	
TNFRSF21	10.8493	8.6413	
HMOX1	3.3137	8.574	
KIF14	6.7329	5.0988	
COL4A1	8.4434	8.5942	
DUSP6	11.0431	10.9492	
CYB561	7.8497	8.3104	
EPB41L2	7.9427	7.825	
GNAI2	8.3094	8.5729	
HTRA1	9.0472	7.1907	
TSTA3	8.9076	9.1489	
WASF3	6.7102	6.682	
DNMT1	12.4111	11.9494	
TSPAN6	8.1755	8.5475	
FBXO21	11.054	9.1775	
RAB27A	7.8451	8.0473	
DDR1	7.5839	7.544	
PPP2R3C	7.0306	7.9174	
ADRB2	8.0528	7.8754	
LPGAT1	9.4397	9.8713	
DUSP11	11.0233	9.801	
GRB10	6.809	7.5213	
MMP1	6.8084	5.269	
TP53BP2	10.8087	10.7046	
CDKN1A	10.6894	10.6632	
ZW10	8.2783	8.3484	
CORO1A	8.4331	6.7335	
TJP1	7.8608	8.189	
ABCB6	8.2589	7.5802	
XPNPEP1	7.4239	7.5447	
MAMLD1	5.055	4.7964	
MTHFD2	10.8937	11.4209	
DSG2	10.8634	11.3983	
PRAF2	7.141	7.5105	
DNTTIP2	11.2257	11.2086	
SLC27A3	11.0964	9.7399	
CD97	8.5014	9.093	
HTATSF1	11.3225	10.774	
IL13RA1	9.1597	7.9636	
NCAPD2	9.5361	9.8508	
AGL	6.4813	6.219	
TMEM109	9.532	10.1886	
