gene	3hr	24hr	
GTF2E2	9.3708	9.3502	
VAV3	5.5982	7.5241	
ABHD6	6.8388	7.3483	
ANXA7	10.2131	10.1016	
MAPKAPK2	10.3246	10.7983	
TXNRD1	13.3799	13.0097	
CAB39	8.3781	8.5848	
FZD1	6.2714	6.2004	
CRYZ	8.4618	8.3814	
TIAM1	5.944	6.2124	
DNM1L	10.2349	9.9055	
GAA	5.7782	6.3133	
DERA	10.3514	9.3564	
SKIV2L	8.6735	10.0236	
BLMH	7.804	8.3516	
PTPRK	10.0418	9.6766	
HERC6	7.5702	7.5267	
RRP1B	9.3035	8.5857	
MKNK1	9.4164	10.2682	
TSPAN3	8.5692	9.4479	
ACOT9	10.9492	11.1032	
PIK3R3	4.3445	4.6307	
KEAP1	10.4129	10.2341	
ST3GAL5	5.9131	6.336	
CTNNAL1	12.4315	11.7993	
TFDP1	10.3839	9.5965	
ABHD4	7.6328	8.1489	
SMC3	9.1642	8.8328	
INPP4B	8.1701	8.4213	
LBR	9.9537	9.8887	
PPIE	9.8622	10.3073	
ZMIZ1	10.2998	10.9753	
PPARG	8.0316	8.3296	
TERF2IP	9.5759	10.0332	
BNIP3	11.6753	11.9023	
RPP38	8.5387	8.3697	
BCL2	4.7066	4.5234	
CAST	11.457	11.2288	
BAG3	11.6487	11.4101	
RBM6	8.3365	8.7941	
CSK	8.3438	9.2576	
GNA11	10.5622	9.9188	
ALDOC	5.2048	4.97	
TOR1A	8.4526	8.2845	
SLC25A13	11.8415	10.5764	
UBE2L6	9.8572	10.0526	
SYK	5.912	5.5076	
TSPAN4	11.8218	12.1025	
NR3C1	6.8421	7.1413	
PCBD1	10.5511	11.0634	
ICMT	9.0752	9.7792	
TRIB3	9.7122	9.4608	
EIF4EBP1	8.7735	8.9185	
PHF15	6.7396	7.5834	
CXCR4	7.6912	8.0232	
GNPDA1	9.5525	9.5218	
CCND3	9.5417	10.2056	
FKBP14	5.5982	6.061	
CIAPIN1	9.2343	9.8858	
NUCB2	9.9035	10.27	
COG7	9.0147	8.2463	
RSU1	8.4985	7.9717	
PTPN6	6.8673	6.1985	
TUBB6	11.715	12.2462	
ABL1	10.0345	9.8523	
DUSP4	10.0298	11.0396	
CCNF	7.6336	7.8358	
PTPN12	10.0792	10.3225	
HSPA1A	9.6391	9.0767	
PCK2	8.7045	8.218	
FAM57A	9.0041	8.0055	
RB1	8.7374	9.0516	
EVL	6.129	5.9025	
GFPT1	7.7883	7.2563	
BLVRA	9.1797	10.1099	
GPER	6.2416	6.2902	
EAPP	7.3833	7.4091	
S100A13	12.0851	12.1046	
EXT1	12.1745	11.6167	
MYBL2	7.6602	7.0155	
POLE2	8.5503	7.9275	
STX4	9.1429	10.0039	
PLCB3	9.7075	10.0642	
TMCO1	11.1417	11.1988	
C2CD2	5.8153	6.3155	
